id,name,Genetic Distance of Countries (To USA),"Fst genetic distance between plurality groups, current match",Linguistic proximity between dominant groups (Fearon data),"Lexicostatistical % cognate measure, dominant languages","Glottochronological separation time, dominant languages","Religious proximity between country 1 and 2, weighted (Fearon data)","Imports plus Exports to GDP ratio, %, 2000, PWT, 1","Rule of Law (0-6) , 1990 (IRIS/ICRG)","Rescaled FH index of political rights, -10-10, increasing in political rights",Combined Polity Score - Range = -10 to 10,"(CIF imports/FOB exports)-1, using flows from 1 to 2, 1980-2005 average, DOTS","(CIF imports/FOB exports)-1, using flows from 2 to 1, 1980-2005 average, DOTS"
GNQ,Equatorial Guinea,0.31563,2288,0,0,0,0,153.0495,0,-10,-5,0.103242,0
ERI,Eritrea,null,1163,0,0,0,1.28,0,0,-6.66667,-6,0,0
EST,Estonia,0.161,1023,0,0,0,1.152,179.9305,0,6.666667,6,0,0.485166
ETH,Ethiopia,0.18619,1163,0,0,0,1.031,46.07981,1.9,0,1,0.226439,0
FLK,Falkland Islands (Islas Malvinas),null,null,null,null,null,null,null,null,null,null,null,null
208,Faroe Islands,null,null,null,null,null,null,null,null,null,null,null,null
FJI,Fiji,0.223,1550,0,0,0,1.6008,0,0,0,5,0,0.610407
FIN,Finland,0.59,1023,0,0,0,2.783,76.0289,6,10,10,0,0.429463
FRA,France,0.76,0,1,236,187,2.9112,55.90314,5.8,10,9,0.099742,0.327638
179,French Polynesia,null,991,0,0,0,0,0,0,0,0,0.104978,0.08349
ATF,French Southern and Antarctic Lands,null,null,null,null,null,null,null,null,null,null,null,null
GAB,Gabon,0.29479,2288,0,0,0,1.175,71.79487,3.2,-3.33333,-4,0.171353,0.184813
GMB,"Gambia, The",null,null,null,null,null,null,null,null,null,null,null,null
149,Gaza Strip,null,null,null,null,null,null,null,null,null,null,null,null
GEO,Georgia,0.11,236,0,0,0,1.5176,84.05336,0,0,5,0,0
DEU,Germany,null,21,0,0,0,0,67.07164,0,10,10,0.029704,0.326887
GHA,Ghana,0.33746,1487,0,0,0,0.682,118.75,3,0,-1,0,0.028662
214,Gibraltar,null,51,0,0,0,0,0,0,0,0,0.100205,0.10012
GRC,Greece,0.2527,204,1,162,275,1.6766,57.90633,5,10,10,0.081452,0
GRL,Greenland,null,1185,0,0,0,0,0,0,0,0,0,0
190,Grenada,0.286,1487,0,1000,0,0,136.1697,0,10,0,0.016001,0.340561
GTM,Guatemala,0.25268,1246,1,240,181,3.1652,47.76345,2.2,0,3,0.574855,0.030172
204,Guernsey,null,null,null,null,null,null,null,null,null,null,null,null
GIN,Guinea,0.3122,1487,0,0,0,0.867,57.14828,3,-6.66667,-1,0.61367,0
GNB,Guinea-Bissau,null,null,null,null,null,null,null,null,null,null,null,null
GUY,Guyana,0.1728,556,1,1000,0,0.9434,0,2.2,6.666667,6,0.28463,0.070534
HTI,Haiti,0.3911,1487,1,198,213,3.0736,0,1.5,-3.33333,7,0,0
235,Holy See (Vatican City),null,null,null,null,null,null,null,null,null,null,null,null
HND,Honduras,0.16878,1246,1,240,181,3.013,98.75867,2.8,3.333333,6,0,0
HKG,Hong Kong,0.22679,1152,0,0,0,0,295.1855,4.7,0,0,0,0
HUN,Hungary,0.928,1023,0,0,0,2.897,127.2354,5.2,10,10,0.3589,0.923382
ISL,Iceland,0.748,0,0,546,53,0,75.81144,6,10,0,0.114645,0.097406
IND,India,0.3798,280,1,146,339,0.1624,30.44933,3,0,9,0.286226,0
IDN,Indonesia,0.22457,1098,0,0,0,1.0348,69.20576,3.6,-10,-7,0.265228,0.435546
IRN,Iran,0.2331,197,1,140,264,0.8534,55.69053,3.9,-6.66667,-6,0,0
IRQ,Iraq,0.282,236,0,0,0,0.8402,0,1.6,-10,-9,0.100551,0.1
IRL,Ireland,0.748,0,1,1000,0,2.926,175.5566,5.3,10,10,0.072182,0.205102
199,Isle of Man,null,0,0,1000,0,0,0,0,0,0,0,0
ISR,Israel,0.16,236,0,0,0,0.921,86.87441,4.5,10,9,0.052295,0
ITA,Italy,0.2435,51,1,247,181,3.0522,55.58969,5,10,10,0.061779,0.164413
JAM,Jamaica,0.29975,1487,15,1000,0,2.4266,99.33204,2.6,6.666667,9,0.340239,0.084358
JPN,Japan,0.2633,1244,0,0,0,0.045,20.09532,5.7,10,10,0.037909,0.143312
195,Jersey,null,null,null,null,null,null,null,null,null,null,null,null
JOR,Jordan,0.2151,236,0,0,0,0.8764,110.9608,4,0,-2,0,0.000388
KAZ,Kazakhstan,0.785,866,0,0,0,1.2394,105.6257,0,-6.66667,-4,0.958199,0.420759
KEN,Kenya,0.23984,2288,0,0,0,2.321,61.71284,3.3,-10,-5,0.574909,0.081289
194,Kiribati,0.3475,1174,0,0,0,0,0,0,10,0,0.101394,0.100029
PRK,"Korea, North",null,null,null,null,null,null,null,null,null,null,null,null
KOR,"Korea, South",null,null,null,null,null,null,null,null,null,null,null,null
KWT,Kosovo,null,null,null,null,null,null,null,null,null,null,null,null
OSA,Kosovo,null,null,null,null,null,null,null,null,null,null,null,null
KWT,Kuwait,0.2981,236,0,0,0,0.761,0,3.7,-3.33333,-7,0,0.009196
KGZ,Kyrgyzstan,0.123,866,0,0,0,0.995,97.66573,0,0,-3,0,0
LAO,Laos,null,1143,0,0,0,0.08,0,0,-10,-7,0.422011,0
LVA,Latvia,0.161,1.02E+03,1,197,215,1.4302,100.0794,0,6.666667,8,0,0
LBN,Lebanon,0.2638,236,0,0,0,1.1512,50.82561,0,-6.66667,0,0.21293,0.136178
LSO,Lesotho,0.32553,2288,0,0,0,1.36,116.8145,0,0,8,0,0
LBR,Liberia,0.32367,1487,0,0,0,0.852,0,1,-10,0,0.300126,0
LBY,Libya,0.7669,273,0,0,0,0.8402,0,0,-10,-7,0,0
210,Liechtenstein,null,null,null,null,null,null,null,null,null,null,null,null
LTU,Lithuania,0.161,1023,1,216,204,2.3736,96.71523,0,10,10,0.239835,0.624983
LUX,Luxembourg,0.7154,0,0,0,0,0,285.5909,6,10,0,0,0
168,Macau,null,null,null,null,null,null,null,null,null,null,null,null
MKD,Macedonia,null,204,1,253,177,1.403,107.8006,0,0,6,0.41585,0
MDG,Madagascar,0.23298,1098,0,0,0,0.7572,59.51927,2.4,6.666667,9,0,0.54732
MWI,Malawi,0.32553,2288,0,0,0,2.805,64.4818,2.6,6.666667,7,0.080654,0.732072
MYS,Malaysia,0.1955,1275,0,0,0,0.559,230.3342,3.9,0,3,0.203692,0.290613
174,Maldives,null,556,0,0,0,0,0,0,0,0,0,0.216311
MLI,Mali,0.29839,1487,0,0,0,0.791,65.3423,2.6,6.666667,7,0,0.137482
173,Malta,0.2412,51,0,0,0,0,0,4.9,10,0,0,0.406144
203,Marshall Islands,null,null,null,null,null,null,null,null,null,null,null,null
MRT,Mauritania,0.1961,1163,0,0,0,0.86,0,0,-6.66667,-6,0.499982,0.110905
153,Mauritius,0.9557,280,1,201,216,1.0314,130.5527,0,10,10,0.120608,0
181,Mayotte,null,null,null,null,null,null,null,null,null,null,null,null
MEX,Mexico,0.212,1246,1,240,181,2.9886,64.69183,3,0,4,0.179099,0.010642
191,"Micronesia, Federated States of",null,null,null,null,null,null,null,null,null,null,null,null
MDA,Moldova,0.1719,204,1,227,196,1.6848,126.8616,0,0,7,0,0.486926
212,Monaco,null,null,null,null,null,null,null,null,null,null,null,null
MNG,Mongolia,0.2224,896,0,0,0,0.0344,0,0,6.666667,9,0.572479,0.456629
MNE,Montenegro,null,null,null,null,null,null,null,null,null,null,null,null
228,Montserrat,null,1487,0,0,0,0,0,0,0,0,0,0
MAR,Morocco,0.4782,273,0,0,0,0.8684,68.4132,4.2,-3.33333,-7,0.522331,0.04205
MOZ,Mozambique,0.32472,2288,0,0,0,0.682,54.63199,1.4,3.333333,6,0.212725,0.015547
id,name,null,null,null,null,null,null,null,null,null,null,null,null
NAM,Namibia,0.33848,2288,0,0,0,1.445,0,0,6.666667,6,0,0
222,Nauru,null,null,null,null,null,null,null,null,null,null,null,null
NPL,Nepal,0.21298,873,1,157,286,0.0298,55.96099,0,3.333333,5,0.117705,0.126696
NLD,Netherlands,0.748,21,3,0,0,2.1788,129.5876,6,10,10,0.057756,0
183,Netherlands Antilles,null,1487,0,0,0,0,0,0,0,0,0.28628,0
NCL,New Caledonia,null,1550,0,0,0,0,0,0,0,0,0,0.478376
NZL,New Zealand,0.4443,0,15,1000,0,2.2588,71.81774,6,10,10,0.13625,0.288258
NIC,Nicaragua,0.1471,0,1,240,181,2.665,121.3204,2.8,0,8,0,0
NER,Niger,0.27435,273,0,0,0,0.728,38.52648,2,3.333333,8,0,0.973047
NGA,Nigeria,0.3559,1487,0,0,0,1.11,93.12321,2.8,-10,-6,0.245847,0.13849
234,Niue,null,null,null,null,null,null,null,null,null,null,null,null
230,Norfolk Island,null,null,null,null,null,null,null,null,null,null,null,null
209,Northern Mariana Islands,null,null,null,null,null,null,null,null,null,null,null,null
NOR,Norway,0.161,21,2,0,0,2.8222,77.05225,6,10,10,0.551981,0.537201
OMN,Oman,0.2999,236,0,0,0,0.695,0,4.3,-6.66667,-9,0.631153,0.212547
PAK,Pakistan,0.1476,280,1,157,298,0.8402,34.56829,2,3.333333,8,0,0
217,Palau,null,null,null,null,null,null,null,null,null,null,null,null
PAN,Panama,0.17466,0,1,240,181,3.184,71.96738,2.6,6.666667,9,0.576489,0
PNG,Papua New Guinea,0.3774,1816,0,0,0,2.2028,0,3,6.666667,10,0.148983,0.329944
PRY,Paraguay,0.19455,1300,0,240,181,3.156,55.70393,3.6,0,7,0.958309,0
PER,Peru,0.1991,1300,1,240,181,2.81,33.80875,2.1,-3.33333,1,0.131779,0.134917
PHL,Philippines,0.292,1117,0,0,0,2.9514,104.1112,2.8,6.666667,8,0.239079,0
237,Pitcairn Islands,null,null,null,null,null,null,null,null,null,null,null,null
POL,Poland,0.485,0,1,239,183,2.945,69.26622,5.5,10,9,0.115488,0.287304
PRT,Portugal,0.7265,51,1,240,184,2.926,74.91009,5.3,10,10,0.135986,0.084281
PRI,Puerto Rico,null,51,0,240,181,0,0,0,0,0,0,0
QAT,Qatar,0.2813,236,0,0,0,0,0,0,-10,-10,0,0.330659
ROU,Romania,0.1719,204,1,227,196,1.6856,74.03217,0,0,5,0.212221,0.406761
RUS,Russia,null,null,null,null,null,null,null,null,null,null,null,null
RWA,Rwanda,0.26691,2288,0,0,0,2.403,32.33233,0,-10,-6,0,0.589499
226,Saint Barthelemy,null,null,null,null,null,null,null,null,null,null,null,null
225,"Saint Helena, Ascension, and Tristan da Cunha",null,null,null,null,null,null,null,null,null,null,null,null
207,Saint Kitts and Nevis,null,null,null,null,null,null,null,null,null,null,null,null
187,Saint Lucia,null,null,null,null,null,null,null,null,null,null,null,null
213,Saint Martin,null,null,null,null,null,null,null,null,null,null,null,null
227,Saint Pierre and Miquelon,null,null,null,null,null,null,null,null,null,null,null,null
193,Saint Vincent and the Grenadines,null,null,null,null,null,null,null,null,null,null,null,null
185,Samoa,null,null,null,null,null,null,null,null,null,null,null,null
211,San Marino,null,51,0,0,0,0,0,0,10,0,0,0
186,Sao Tome and Principe,null,1487,0,0,0,0,115.3226,0,10,0,0.106762,0.099971
SAU,Saudi Arabia,0.3587,236,0,0,0,0.8786,0,4.7,-10,-10,0.112558,0
SEN,Senegal,0.359,1487,0,0,0,0.8252,70.08355,2,0,-1,0,0.062317
SRB,Serbia,null,null,null,null,null,null,null,null,null,null,null,null
196,Seychelles,0.2191,1098,0,201,216,0,164.7576,0,3.333333,0,0,0.777699
SLE,Sierra Leone,0.29836,1487,0,0,0,0.686,50.52474,2.1,-10,-7,0,0
SGP,Singapore,0.2794,1152,0,0,0,0.1734,341.5911,5.3,-3.33333,-2,0,0.162126
SVK,Slovakia,null,21,1,250,171,2.3068,149.5604,0,6.666667,7,0.222822,0
SVN,Slovenia,null,204,1,249,172,2.3066,121.752,0,10,10,0.161834,0
SLB,Solomon Islands,0.5328,1550,0,0,0,0,0,0,10,0,0,0
SOM,Somalia,0.16196,1163,0,0,0,0.86,0,1.2,-10,0,0,0
ABV,Somaliland,null,null,null,null,null,null,null,null,null,null,null,null
ZAF,South Africa,0.26692,2288,0,0,0,1.1732,55.14874,3.3,10,9,0.574665,0.210158
SDS,South Sudan,null,null,null,null,null,null,null,null,null,null,null,null
ESP,Spain,0.7244,0,1,240,181,2.993,62.2217,5.6,10,10,0.121777,0.258032
LKA,Sri Lanka,0.383,280,1,131,348,0.1962,90.20701,1.5,0,5,0.131112,0.309984
SDN,Sudan,0.13573,273,0,0,0,0.687,0,2.2,-10,-7,0.175649,0
SUR,Suriname,0.1454,280,0,0,0,0,0,1.7,3.333333,0,0.064192,0.307184
231,Svalbard,null,null,null,null,null,null,null,null,null,null,null,null
SWZ,Swaziland,0.31354,2288,0,0,0,1.02,146.3145,0,-6.66667,-9,0,0
SWE,Sweden,0.7391,21,2,589,46,2.723,89.02305,6,10,10,0.058549,0.254703
CHE,Switzerland,0.6837,21,3,578,48,2.945,87.9253,6,10,10,0.107468,0
SYR,Syria,0.2163,236,0,0,0,0.944,68.59045,3.3,-10,-9,0,0.578687
TWN,Taiwan,null,1152,0,0,0,0.089,0,5,3.333333,7,0,0
TJK,Tajikistan,0.313,197,1,147,266,0.806,165.3726,0,-10,-6,0,0
TZA,Tanzania,null,2288,0,0,0,1.066,37.92913,4,-3.33333,-1,0.57791,0.062131
THA,Thailand,0.2479,1143,0,0,0,0.0364,127.6069,4.5,3.333333,9,0.131021,0.227582
TLS,Timor-Leste,null,null,null,null,null,null,null,null,null,null,null,null
TGO,Togo,null,1487,0,0,0,0.426,85.40516,2.4,-6.66667,-2,0,0
233,Tokelau,null,null,null,null,null,null,null,null,null,null,null,null
188,Tonga,0.46425,991,0,0,0,0,0,0,-3.33333,0,0.153836,0.120218
TTO,Trinidad and Tobago,0.2213,1487,15,1000,0,1.4966,116.2303,4,10,9,0.100878,0.21915
TUN,Tunisia,0.2812,273,0,0,0,0.8618,91.57504,3.6,-6.66667,-3,0.262084,0.336711
TUR,Turkey,0.159,866,0,0,0,0.86,54.97994,3.6,-3.33333,8,0.215125,0.011798
TKM,Turkmenistan,0.991,866,0,0,0,0.9224,0,0,-10,-9,0.370549,0.567298
216,Turks and Caicos Islands,null,null,null,null,null,null,null,null,null,null,null,null
224,Tuvalu,null,null,null,null,null,null,null,null,null,null,null,null
UGA,Uganda,0.24472,2288,0,0,0,2.3684,35.66024,2.5,-3.33333,-4,0.385082,0.116109
UKR,Ukraine,0.169,51,1,223,194,1.1246,118.2364,0,3.333333,6,0.135426,0.54574
ARE,United Arab Emirates,0.3158,236,1,0,0,0.8336,0,3.8,-6.66667,-8,0.265575,0.024973
GBR,United Kingdom,0.6542,0,15,1000,0,2.5268,57.9099,5.8,10,10,0,0.087966
USA,United States,null,null,null,null,null,null,null,null,null,null,null,null
URY,Uruguay,null,0,1,240,181,2.6714,39.98234,3,6.666667,10,0,0
UZB,Uzbekistan,null,866,0,0,0,0.9158,0,0,-10,-9,0.099784,0.1
VUT,Vanuatu,null,991,0,0,0,0,0,0,10,0,0,0.075503
VEN,Venezuela,null,0,1,240,181,3.0532,46.30194,4,3.333333,8,0.138835,0.098304
VNM,Vietnam,null,1100,0,0,0,0.3246,0,0,-10,-7,0,0
189,Virgin Islands,null,null,null,null,null,null,null,null,null,null,null,null
220,Wallis and Futuna,null,null,null,null,null,null,null,null,null,null,null,null
PSE,West Bank,null,null,null,null,null,null,null,null,null,null,null,null
ESH,Western Sahara,null,null,null,null,null,null,null,null,null,null,null,null
YEM,Yemen,null,null,null,null,null,null,null,null,null,null,null,null
ZMB,Zambia,null,2288,0,0,0,1.175,70.45409,2.6,3.333333,6,0,0.498355
ZWE,Zimbabwe,null,2288,0,0,0,0.852,62.60917,3.2,-3.33333,-6,0.224353,0.639512
